#    L    TT             EE             BB             TE          
     2    0.58118E+03    0.54910E-01    0.14125E-05    0.27659E+00
     3    0.48278E+03    0.88417E-01    0.28254E-05    0.65371E+00
     4    0.42554E+03    0.97826E-01    0.47100E-05    0.80739E+00
     5    0.39436E+03    0.85330E-01    0.70670E-05    0.80112E+00
     6    0.38042E+03    0.61964E-01    0.98970E-05    0.71356E+00
     7    0.37853E+03    0.38806E-01    0.13201E-04    0.59388E+00
     8    0.38475E+03    0.22170E-01    0.16980E-04    0.47635E+00
     9    0.39634E+03    0.13100E-01    0.21235E-04    0.37899E+00
    10    0.41192E+03    0.94488E-02    0.25968E-04    0.31520E+00
    11    0.43018E+03    0.83358E-02    0.31180E-04    0.29163E+00
    12    0.45064E+03    0.77845E-02    0.36871E-04    0.31179E+00
    13    0.47243E+03    0.69545E-02    0.43045E-04    0.36306E+00
    14    0.49554E+03    0.60532E-02    0.49702E-04    0.42841E+00
    15    0.51935E+03    0.53712E-02    0.56845E-04    0.49689E+00
    16    0.54327E+03    0.51121E-02    0.64474E-04    0.55996E+00
    17    0.56767E+03    0.52690E-02    0.72591E-04    0.60953E+00
    18    0.59228E+03    0.55982E-02    0.81200E-04    0.64044E+00
    19    0.61812E+03    0.59684E-02    0.90300E-04    0.65208E+00
    20    0.64353E+03    0.63596E-02    0.99894E-04    0.64373E+00
    21    0.66887E+03    0.68173E-02    0.10998E-03    0.62379E+00
    22    0.69437E+03    0.74739E-02    0.12057E-03    0.60040E+00
    23    0.71979E+03    0.83832E-02    0.13166E-03    0.57638E+00
    24    0.74512E+03    0.95404E-02    0.14324E-03    0.55342E+00
    25    0.77033E+03    0.10954E-01    0.15533E-03    0.53392E+00
    26    0.79526E+03    0.12591E-01    0.16792E-03    0.52090E+00
    27    0.82019E+03    0.14409E-01    0.18102E-03    0.51189E+00
    28    0.84502E+03    0.16396E-01    0.19462E-03    0.50439E+00
    29    0.86982E+03    0.18560E-01    0.20873E-03    0.49617E+00
    30    0.89454E+03    0.20919E-01    0.22335E-03    0.48382E+00
    31    0.91900E+03    0.23456E-01    0.23847E-03    0.46543E+00
    32    0.94342E+03    0.26146E-01    0.25411E-03    0.43911E+00
    33    0.96781E+03    0.29001E-01    0.27025E-03    0.40194E+00
    34    0.99201E+03    0.32052E-01    0.28691E-03    0.35288E+00
    35    0.10160E+04    0.35318E-01    0.30407E-03    0.29629E+00
    36    0.10397E+04    0.38821E-01    0.32175E-03    0.23522E+00
    37    0.10631E+04    0.42552E-01    0.33994E-03    0.16588E+00
    38    0.10867E+04    0.46509E-01    0.35863E-03    0.86031E-01
    39    0.11104E+04    0.50705E-01    0.37784E-03   -0.23044E-02
    40    0.11339E+04    0.55158E-01    0.39756E-03   -0.96239E-01
    41    0.11573E+04    0.59889E-01    0.41779E-03   -0.19400E+00
    42    0.11804E+04    0.64899E-01    0.43853E-03   -0.29749E+00
    43    0.12033E+04    0.70186E-01    0.45978E-03   -0.40948E+00
    44    0.12259E+04    0.75730E-01    0.48153E-03   -0.53186E+00
    45    0.12485E+04    0.81523E-01    0.50379E-03   -0.66645E+00
    46    0.12713E+04    0.87561E-01    0.52656E-03   -0.81632E+00
