#    L    TT             EE             BB             TE          
     2    0.12324E+04    0.55116E-01    0.13821E-05    0.35794E+01
     3    0.11213E+04    0.88928E-01    0.27646E-05    0.42291E+01
     4    0.10343E+04    0.97754E-01    0.46087E-05    0.42823E+01
     5    0.96924E+03    0.84416E-01    0.69149E-05    0.39515E+01
     6    0.92192E+03    0.60567E-01    0.96840E-05    0.34343E+01
     7    0.88855E+03    0.37493E-01    0.12917E-04    0.28644E+01
     8    0.86536E+03    0.21319E-01    0.16614E-04    0.23255E+01
     9    0.84987E+03    0.12763E-01    0.20778E-04    0.18636E+01
    10    0.84038E+03    0.94374E-02    0.25408E-04    0.15046E+01
    11    0.83524E+03    0.84148E-02    0.30507E-04    0.12567E+01
    12    0.83448E+03    0.78135E-02    0.36076E-04    0.11169E+01
    13    0.83622E+03    0.69058E-02    0.42116E-04    0.10614E+01
    14    0.83940E+03    0.59862E-02    0.48629E-04    0.10621E+01
    15    0.84423E+03    0.53347E-02    0.55617E-04    0.11009E+01
    16    0.85107E+03    0.51217E-02    0.63081E-04    0.11626E+01
    17    0.85982E+03    0.53127E-02    0.71022E-04    0.12318E+01
    18    0.86954E+03    0.56473E-02    0.79443E-04    0.12964E+01
    19    0.88101E+03    0.60149E-02    0.88346E-04    0.13519E+01
    20    0.89252E+03    0.64209E-02    0.97731E-04    0.13945E+01
    21    0.90441E+03    0.69168E-02    0.10760E-03    0.14310E+01
    22    0.91696E+03    0.76340E-02    0.11796E-03    0.14678E+01
    23    0.92995E+03    0.86178E-02    0.12880E-03    0.15051E+01
    24    0.94346E+03    0.98527E-02    0.14013E-03    0.15422E+01
    25    0.95739E+03    0.11339E-01    0.15196E-03    0.15817E+01
    26    0.97154E+03    0.13039E-01    0.16427E-03    0.16270E+01
    27    0.98616E+03    0.14918E-01    0.17708E-03    0.16743E+01
    28    0.10011E+04    0.16972E-01    0.19039E-03    0.17201E+01
    29    0.10164E+04    0.19209E-01    0.20419E-03    0.17626E+01
    30    0.10321E+04    0.21642E-01    0.21848E-03    0.17988E+01
    31    0.10478E+04    0.24252E-01    0.23328E-03    0.18258E+01
    32    0.10640E+04    0.27013E-01    0.24857E-03    0.18409E+01
    33    0.10805E+04    0.29950E-01    0.26436E-03    0.18431E+01
    34    0.10973E+04    0.33103E-01    0.28065E-03    0.18331E+01
    35    0.11142E+04    0.36482E-01    0.29744E-03    0.18145E+01
    36    0.11312E+04    0.40097E-01    0.31473E-03    0.17893E+01
    37    0.11484E+04    0.43947E-01    0.33251E-03    0.17531E+01
    38    0.11660E+04    0.48036E-01    0.35080E-03    0.17032E+01
    39    0.11840E+04    0.52371E-01    0.36959E-03    0.16421E+01
    40    0.12021E+04    0.56970E-01    0.38887E-03    0.15736E+01
    41    0.12205E+04    0.61849E-01    0.40866E-03    0.14999E+01
    42    0.12389E+04    0.67010E-01    0.42894E-03    0.14189E+01
    43    0.12574E+04    0.72450E-01    0.44972E-03    0.13273E+01
    44    0.12759E+04    0.78155E-01    0.47100E-03    0.12229E+01
    45    0.12948E+04    0.84117E-01    0.49277E-03    0.11034E+01
    46    0.13141E+04    0.90334E-01    0.51503E-03    0.96536E+00
    47    0.13334E+04    0.96807E-01    0.53780E-03    0.81083E+00
    48    0.13529E+04    0.10355E+00    0.56105E-03    0.64581E+00
    49    0.13726E+04    0.11054E+00    0.58480E-03    0.47569E+00
    50    0.13926E+04    0.11777E+00    0.60903E-03    0.29909E+00
    51    0.14128E+04    0.12521E+00    0.63376E-03    0.11273E+00
    52    0.14334E+04    0.13293E+00    0.65897E-03   -0.88772E-01
    53    0.14541E+04    0.14110E+00    0.68468E-03   -0.30943E+00
    54    0.14747E+04    0.14968E+00    0.71087E-03   -0.54529E+00
    55    0.14954E+04    0.15867E+00    0.73755E-03   -0.79231E+00
    56    0.15165E+04    0.16790E+00    0.76471E-03   -0.10524E+01
    57    0.15379E+04    0.17728E+00    0.79235E-03   -0.13255E+01
    58    0.15596E+04    0.18681E+00    0.82048E-03   -0.16118E+01
    59    0.15814E+04    0.19654E+00    0.84909E-03   -0.19119E+01
    60    0.16035E+04    0.20653E+00    0.87819E-03   -0.22248E+01
    61    0.16260E+04    0.21685E+00    0.90777E-03   -0.25495E+01
    62    0.16483E+04    0.22751E+00    0.93782E-03   -0.28868E+01
    63    0.16708E+04    0.23846E+00    0.96836E-03   -0.32379E+01
    64    0.16937E+04    0.24970E+00    0.99939E-03   -0.36040E+01
    65    0.17167E+04    0.26121E+00    0.10309E-02   -0.39858E+01
    66    0.17400E+04    0.27292E+00    0.10629E-02   -0.43816E+01
    67    0.17634E+04    0.28483E+00    0.10953E-02   -0.47884E+01
    68    0.17873E+04    0.29698E+00    0.11283E-02   -0.52045E+01
    69    0.18114E+04    0.30933E+00    0.11617E-02   -0.56280E+01
    70    0.18358E+04    0.32193E+00    0.11956E-02   -0.60606E+01
    71    0.18604E+04    0.33476E+00    0.12301E-02   -0.65045E+01
    72    0.18851E+04    0.34780E+00    0.12649E-02   -0.69613E+01
    73    0.19100E+04    0.36101E+00    0.13003E-02   -0.74315E+01
    74    0.19350E+04    0.37438E+00    0.13362E-02   -0.79146E+01
    75    0.19604E+04    0.38791E+00    0.13726E-02   -0.84090E+01
    76    0.19861E+04    0.40161E+00    0.14094E-02   -0.89143E+01
    77    0.20121E+04    0.41547E+00    0.14468E-02   -0.94302E+01
    78    0.20385E+04    0.42952E+00    0.14846E-02   -0.99579E+01
    79    0.20650E+04    0.44369E+00    0.15230E-02   -0.10494E+02
    80    0.20919E+04    0.45799E+00    0.15618E-02   -0.11038E+02
    81    0.21189E+04    0.47237E+00    0.16012E-02   -0.11593E+02
    82    0.21462E+04    0.48685E+00    0.16410E-02   -0.12156E+02
    83    0.21737E+04    0.50141E+00    0.16814E-02   -0.12727E+02
    84    0.22014E+04    0.51604E+00    0.17223E-02   -0.13304E+02
    85    0.22293E+04    0.53072E+00    0.17637E-02   -0.13888E+02
    86    0.22573E+04    0.54545E+00    0.18056E-02   -0.14478E+02
    87    0.22858E+04    0.56022E+00    0.18480E-02   -0.15074E+02
    88    0.23143E+04    0.57503E+00    0.18910E-02   -0.15675E+02
    89    0.23432E+04    0.58986E+00    0.19345E-02   -0.16284E+02
    90    0.23722E+04    0.60468E+00    0.19785E-02   -0.16896E+02
    91    0.24014E+04    0.61949E+00    0.20231E-02   -0.17514E+02
    92    0.24308E+04    0.63426E+00    0.20682E-02   -0.18136E+02
    93    0.24606E+04    0.64899E+00    0.21138E-02   -0.18762E+02
    94    0.24904E+04    0.66364E+00    0.21600E-02   -0.19392E+02
    95    0.25205E+04    0.67822E+00    0.22067E-02   -0.20025E+02
    96    0.25506E+04    0.69270E+00    0.22540E-02   -0.20660E+02
    97    0.25811E+04    0.70708E+00    0.23018E-02   -0.21298E+02
    98    0.26118E+04    0.72134E+00    0.23502E-02   -0.21936E+02
    99    0.26426E+04    0.73546E+00    0.23991E-02   -0.22577E+02
   100    0.26737E+04    0.74942E+00    0.24486E-02   -0.23217E+02
   101    0.27049E+04    0.76330E+00    0.24987E-02   -0.23858E+02
   102    0.27367E+04    0.77694E+00    0.25494E-02   -0.24498E+02
