#    L    TT             EE             BB             TE          
     2    0.56211E+03    0.51387E-01    0.11072E-05   -0.29371E+01
     3    0.39863E+03    0.83127E-01    0.22148E-05   -0.29411E+01
     4    0.30958E+03    0.92105E-01    0.36921E-05   -0.26968E+01
     5    0.25508E+03    0.80315E-01    0.55396E-05   -0.23393E+01
     6    0.21919E+03    0.58297E-01    0.77579E-05   -0.19211E+01
     7    0.19454E+03    0.36704E-01    0.10348E-04   -0.14846E+01
     8    0.17717E+03    0.21591E-01    0.13310E-04   -0.10690E+01
     9    0.16473E+03    0.13849E-01    0.16645E-04   -0.70642E+00
    10    0.15572E+03    0.11203E-01    0.20354E-04   -0.41774E+00
    11    0.14926E+03    0.10658E-01    0.24438E-04   -0.21065E+00
    12    0.14480E+03    0.10168E-01    0.28899E-04   -0.83663E-01
    13    0.14154E+03    0.89633E-02    0.33737E-04   -0.27418E-01
    14    0.13969E+03    0.73782E-02    0.38954E-04   -0.31199E-01
    15    0.13902E+03    0.59170E-02    0.44551E-04   -0.78189E-01
    16    0.13921E+03    0.49909E-02    0.50529E-04   -0.15077E+00
    17    0.14018E+03    0.46894E-02    0.56890E-04   -0.23745E+00
    18    0.14121E+03    0.48127E-02    0.63635E-04   -0.32777E+00
    19    0.14355E+03    0.51731E-02    0.70765E-04   -0.41611E+00
    20    0.14588E+03    0.56715E-02    0.78282E-04   -0.50129E+00
    21    0.14848E+03    0.62831E-02    0.86187E-04   -0.58077E+00
    22    0.15149E+03    0.70807E-02    0.94482E-04   -0.65380E+00
    23    0.15468E+03    0.80943E-02    0.10317E-03   -0.72352E+00
    24    0.15813E+03    0.93072E-02    0.11225E-03   -0.79386E+00
    25    0.16185E+03    0.10728E-01    0.12172E-03   -0.86809E+00
    26    0.16568E+03    0.12330E-01    0.13158E-03   -0.94732E+00
    27    0.16978E+03    0.14080E-01    0.14184E-03   -0.10320E+01
    28    0.17395E+03    0.15980E-01    0.15250E-03   -0.11211E+01
    29    0.17831E+03    0.18051E-01    0.16356E-03   -0.12142E+01
    30    0.18283E+03    0.20323E-01    0.17501E-03   -0.13122E+01
    31    0.18731E+03    0.22786E-01    0.18686E-03   -0.14143E+01
    32    0.19193E+03    0.25419E-01    0.19912E-03   -0.15199E+01
    33    0.19669E+03    0.28228E-01    0.21177E-03   -0.16289E+01
    34    0.20148E+03    0.31238E-01    0.22482E-03   -0.17407E+01
    35    0.20636E+03    0.34463E-01    0.23828E-03   -0.18536E+01
    36    0.21134E+03    0.37919E-01    0.25214E-03   -0.19675E+01
    37    0.21625E+03    0.41596E-01    0.26640E-03   -0.20849E+01
    38    0.22123E+03    0.45487E-01    0.28106E-03   -0.22063E+01
    39    0.22632E+03    0.49604E-01    0.29612E-03   -0.23312E+01
    40    0.23136E+03    0.53968E-01    0.31159E-03   -0.24592E+01
    41    0.23656E+03    0.58602E-01    0.32745E-03   -0.25899E+01
    42    0.24166E+03    0.63506E-01    0.34372E-03   -0.27244E+01
    43    0.24678E+03    0.68678E-01    0.36039E-03   -0.28634E+01
    44    0.25173E+03    0.74099E-01    0.37746E-03   -0.30073E+01
    45    0.25686E+03    0.79762E-01    0.39493E-03   -0.31560E+01
    46    0.26205E+03    0.85663E-01    0.41279E-03   -0.33113E+01
    47    0.26717E+03    0.91806E-01    0.43106E-03   -0.34717E+01
    48    0.27215E+03    0.98201E-01    0.44972E-03   -0.36324E+01
