#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.56211E+03    0.51386E-01    0.00000E+00   -0.29371E+01    0.42752E-07    0.43994E-02   -0.15399E-04
     3    0.39863E+03    0.83125E-01    0.00000E+00   -0.29411E+01    0.51388E-07    0.40625E-02   -0.18609E-04
     4    0.30958E+03    0.92101E-01    0.00000E+00   -0.26968E+01    0.58678E-07    0.37944E-02   -0.18374E-04
     5    0.25508E+03    0.80310E-01    0.00000E+00   -0.23393E+01    0.64928E-07    0.35707E-02   -0.15717E-04
     6    0.21919E+03    0.58289E-01    0.00000E+00   -0.19211E+01    0.70319E-07    0.33768E-02   -0.11563E-04
     7    0.19454E+03    0.36694E-01    0.00000E+00   -0.14846E+01    0.75013E-07    0.32068E-02   -0.67908E-05
     8    0.17717E+03    0.21577E-01    0.00000E+00   -0.10690E+01    0.79125E-07    0.30561E-02   -0.21911E-05
     9    0.16472E+03    0.13833E-01    0.00000E+00   -0.70641E+00    0.82748E-07    0.29208E-02    0.16181E-05
    10    0.15571E+03    0.11183E-01    0.00000E+00   -0.41773E+00    0.85943E-07    0.27971E-02    0.42995E-05
    11    0.14926E+03    0.10634E-01    0.00000E+00   -0.21065E+00    0.88788E-07    0.26835E-02    0.58001E-05
    12    0.14480E+03    0.10139E-01    0.00000E+00   -0.83660E-01    0.91303E-07    0.25785E-02    0.62088E-05
    13    0.14153E+03    0.89296E-02    0.00000E+00   -0.27414E-01    0.93526E-07    0.24814E-02    0.56879E-05
    14    0.13968E+03    0.73392E-02    0.00000E+00   -0.31194E-01    0.95501E-07    0.23920E-02    0.44518E-05
    15    0.13901E+03    0.58724E-02    0.00000E+00   -0.78182E-01    0.97252E-07    0.23091E-02    0.28986E-05
    16    0.13920E+03    0.49404E-02    0.00000E+00   -0.15077E+00    0.98801E-07    0.22317E-02    0.14206E-05
    17    0.14016E+03    0.46325E-02    0.00000E+00   -0.23744E+00    0.10017E-06    0.21591E-02    0.23206E-06
    18    0.14119E+03    0.47491E-02    0.00000E+00   -0.32776E+00    0.10138E-06    0.20908E-02   -0.54235E-06
    19    0.14353E+03    0.51024E-02    0.00000E+00   -0.41609E+00    0.10245E-06    0.20263E-02   -0.95671E-06
    20    0.14586E+03    0.55933E-02    0.00000E+00   -0.50128E+00    0.10337E-06    0.19653E-02   -0.10876E-05
    21    0.14846E+03    0.61970E-02    0.00000E+00   -0.58074E+00    0.10417E-06    0.19075E-02   -0.93090E-06
    22    0.15146E+03    0.69862E-02    0.00000E+00   -0.65377E+00    0.10486E-06    0.18528E-02   -0.49885E-06
    23    0.15466E+03    0.79913E-02    0.00000E+00   -0.72349E+00    0.10544E-06    0.18009E-02    0.52610E-07
    24    0.15811E+03    0.91951E-02    0.00000E+00   -0.79383E+00    0.10594E-06    0.17515E-02    0.54572E-06
    25    0.16182E+03    0.10607E-01    0.00000E+00   -0.86805E+00    0.10635E-06    0.17045E-02    0.85334E-06
    26    0.16565E+03    0.12198E-01    0.00000E+00   -0.94728E+00    0.10668E-06    0.16598E-02    0.90306E-06
    27    0.16975E+03    0.13939E-01    0.00000E+00   -0.10319E+01    0.10694E-06    0.16171E-02    0.78853E-06
    28    0.17392E+03    0.15828E-01    0.00000E+00   -0.11211E+01    0.10714E-06    0.15763E-02    0.62334E-06
    29    0.17828E+03    0.17888E-01    0.00000E+00   -0.12142E+01    0.10727E-06    0.15373E-02    0.43868E-06
    30    0.18279E+03    0.20148E-01    0.00000E+00   -0.13121E+01    0.10734E-06    0.14998E-02    0.23980E-06
    31    0.18728E+03    0.22600E-01    0.00000E+00   -0.14142E+01    0.10735E-06    0.14639E-02    0.10629E-07
    32    0.19189E+03    0.25221E-01    0.00000E+00   -0.15198E+01    0.10732E-06    0.14294E-02   -0.25068E-06
    33    0.19665E+03    0.28018E-01    0.00000E+00   -0.16289E+01    0.10725E-06    0.13964E-02   -0.46822E-06
    34    0.20144E+03    0.31014E-01    0.00000E+00   -0.17406E+01    0.10713E-06    0.13646E-02   -0.56052E-06
    35    0.20632E+03    0.34226E-01    0.00000E+00   -0.18535E+01    0.10697E-06    0.13341E-02   -0.50019E-06
    36    0.21129E+03    0.37669E-01    0.00000E+00   -0.19674E+01    0.10678E-06    0.13047E-02   -0.29802E-06
    37    0.21620E+03    0.41331E-01    0.00000E+00   -0.20848E+01    0.10656E-06    0.12763E-02   -0.63321E-07
    38    0.22118E+03    0.45208E-01    0.00000E+00   -0.22062E+01    0.10631E-06    0.12491E-02    0.98894E-07
    39    0.22627E+03    0.49310E-01    0.00000E+00   -0.23311E+01    0.10603E-06    0.12228E-02    0.19769E-06
    40    0.23131E+03    0.53659E-01    0.00000E+00   -0.24591E+01    0.10572E-06    0.11974E-02    0.27045E-06
    41    0.23651E+03    0.58277E-01    0.00000E+00   -0.25898E+01    0.10539E-06    0.11728E-02    0.34585E-06
    42    0.24160E+03    0.63166E-01    0.00000E+00   -0.27243E+01    0.10503E-06    0.11491E-02    0.41820E-06
    43    0.24672E+03    0.68322E-01    0.00000E+00   -0.28634E+01    0.10465E-06    0.11261E-02    0.47330E-06
    44    0.25168E+03    0.73726E-01    0.00000E+00   -0.30072E+01    0.10426E-06    0.11039E-02    0.49695E-06
    45    0.25680E+03    0.79373E-01    0.00000E+00   -0.31560E+01    0.10384E-06    0.10824E-02    0.47504E-06
    46    0.26200E+03    0.85257E-01    0.00000E+00   -0.33112E+01    0.10341E-06    0.10616E-02    0.39904E-06
    47    0.26711E+03    0.91382E-01    0.00000E+00   -0.34717E+01    0.10296E-06    0.10414E-02    0.28288E-06
    48    0.27209E+03    0.97760E-01    0.00000E+00   -0.36323E+01    0.10250E-06    0.10218E-02    0.14599E-06
    49    0.27702E+03    0.10438E+00    0.00000E+00   -0.37890E+01    0.10203E-06    0.10029E-02    0.77639E-08
    50    0.28214E+03    0.11122E+00    0.00000E+00   -0.39441E+01    0.10154E-06    0.98448E-03   -0.11244E-06
    51    0.28722E+03    0.11826E+00    0.00000E+00   -0.41018E+01    0.10105E-06    0.96663E-03   -0.19951E-06
    52    0.29249E+03    0.12559E+00    0.00000E+00   -0.42666E+01    0.10054E-06    0.94930E-03   -0.25504E-06
    53    0.29754E+03    0.13333E+00    0.00000E+00   -0.44415E+01    0.10003E-06    0.93247E-03   -0.28480E-06
    54    0.30229E+03    0.14149E+00    0.00000E+00   -0.46215E+01    0.99506E-07    0.91612E-03   -0.29455E-06
    55    0.30695E+03    0.15003E+00    0.00000E+00   -0.48013E+01    0.98977E-07    0.90022E-03   -0.29001E-06
    56    0.31171E+03    0.15881E+00    0.00000E+00   -0.49821E+01    0.98441E-07    0.88476E-03   -0.27627E-06
    57    0.31652E+03    0.16773E+00    0.00000E+00   -0.51636E+01    0.97899E-07    0.86972E-03   -0.25588E-06
    58    0.32137E+03    0.17678E+00    0.00000E+00   -0.53468E+01    0.97352E-07    0.85508E-03   -0.23071E-06
    59    0.32615E+03    0.18602E+00    0.00000E+00   -0.55324E+01    0.96799E-07    0.84083E-03   -0.20266E-06
    60    0.33085E+03    0.19550E+00    0.00000E+00   -0.57197E+01    0.96240E-07    0.82694E-03   -0.17362E-06
