#    L    TT             EE             TE             PP             TP          
     2    0.56211E+03    0.51386E-01   -0.29371E+01    0.88684E+06    0.41009E+05
     3    0.39863E+03    0.83125E-01   -0.29411E+01    0.13491E+07    0.45186E+05
     4    0.30958E+03    0.92101E-01   -0.26968E+01    0.17528E+07    0.46495E+05
     5    0.25508E+03    0.80310E-01   -0.23393E+01    0.21045E+07    0.46517E+05
     6    0.21919E+03    0.58289E-01   -0.19211E+01    0.24113E+07    0.45890E+05
     7    0.19454E+03    0.36694E-01   -0.14846E+01    0.26806E+07    0.44948E+05
     8    0.17717E+03    0.21577E-01   -0.10690E+01    0.29180E+07    0.43859E+05
     9    0.16472E+03    0.13833E-01   -0.70641E+00    0.31284E+07    0.42707E+05
    10    0.15571E+03    0.11183E-01   -0.41773E+00    0.33151E+07    0.41519E+05
    11    0.14926E+03    0.10634E-01   -0.21065E+00    0.34822E+07    0.40332E+05
    12    0.14480E+03    0.10139E-01   -0.83660E-01    0.36311E+07    0.39161E+05
    13    0.14153E+03    0.89296E-02   -0.27414E-01    0.37639E+07    0.38023E+05
    14    0.13968E+03    0.73392E-02   -0.31194E-01    0.38829E+07    0.36935E+05
    15    0.13901E+03    0.58724E-02   -0.78182E-01    0.39895E+07    0.35895E+05
    16    0.13920E+03    0.49404E-02   -0.15077E+00    0.40849E+07    0.34896E+05
    17    0.14016E+03    0.46325E-02   -0.23744E+00    0.41703E+07    0.33936E+05
    18    0.14119E+03    0.47491E-02   -0.32776E+00    0.42470E+07    0.33015E+05
    19    0.14353E+03    0.51024E-02   -0.41609E+00    0.43153E+07    0.32130E+05
    20    0.14586E+03    0.55933E-02   -0.50128E+00    0.43760E+07    0.31280E+05
    21    0.14846E+03    0.61970E-02   -0.58074E+00    0.44298E+07    0.30463E+05
    22    0.15146E+03    0.69862E-02   -0.65377E+00    0.44777E+07    0.29682E+05
    23    0.15466E+03    0.79913E-02   -0.72349E+00    0.45199E+07    0.28933E+05
    24    0.15811E+03    0.91951E-02   -0.79383E+00    0.45569E+07    0.28213E+05
    25    0.16182E+03    0.10607E-01   -0.86805E+00    0.45892E+07    0.27522E+05
    26    0.16565E+03    0.12198E-01   -0.94728E+00    0.46172E+07    0.26859E+05
    27    0.16975E+03    0.13939E-01   -0.10319E+01    0.46412E+07    0.26222E+05
    28    0.17392E+03    0.15828E-01   -0.11211E+01    0.46617E+07    0.25610E+05
    29    0.17828E+03    0.17888E-01   -0.12142E+01    0.46785E+07    0.25021E+05
    30    0.18279E+03    0.20148E-01   -0.13121E+01    0.46919E+07    0.24452E+05
    31    0.18728E+03    0.22600E-01   -0.14142E+01    0.47023E+07    0.23903E+05
    32    0.19189E+03    0.25221E-01   -0.15198E+01    0.47101E+07    0.23375E+05
    33    0.19665E+03    0.28018E-01   -0.16289E+01    0.47154E+07    0.22865E+05
    34    0.20144E+03    0.31014E-01   -0.17406E+01    0.47184E+07    0.22374E+05
    35    0.20632E+03    0.34226E-01   -0.18535E+01    0.47193E+07    0.21900E+05
    36    0.21129E+03    0.37669E-01   -0.19674E+01    0.47182E+07    0.21442E+05
    37    0.21620E+03    0.41331E-01   -0.20848E+01    0.47152E+07    0.21000E+05
    38    0.22118E+03    0.45208E-01   -0.22062E+01    0.47106E+07    0.20573E+05
    39    0.22627E+03    0.49310E-01   -0.23311E+01    0.47043E+07    0.20159E+05
    40    0.23131E+03    0.53659E-01   -0.24591E+01    0.46966E+07    0.19759E+05
    41    0.23651E+03    0.58277E-01   -0.25898E+01    0.46874E+07    0.19372E+05
    42    0.24160E+03    0.63166E-01   -0.27243E+01    0.46768E+07    0.18996E+05
    43    0.24672E+03    0.68322E-01   -0.28634E+01    0.46650E+07    0.18631E+05
    44    0.25168E+03    0.73726E-01   -0.30072E+01    0.46521E+07    0.18278E+05
    45    0.25680E+03    0.79373E-01   -0.31560E+01    0.46381E+07    0.17935E+05
    46    0.26200E+03    0.85257E-01   -0.33112E+01    0.46232E+07    0.17602E+05
    47    0.26711E+03    0.91382E-01   -0.34717E+01    0.46074E+07    0.17279E+05
    48    0.27209E+03    0.97760E-01   -0.36323E+01    0.45908E+07    0.16966E+05
    49    0.27702E+03    0.10438E+00   -0.37890E+01    0.45734E+07    0.16661E+05
    50    0.28214E+03    0.11122E+00   -0.39441E+01    0.45553E+07    0.16366E+05
    51    0.28722E+03    0.11826E+00   -0.41018E+01    0.45365E+07    0.16078E+05
    52    0.29249E+03    0.12559E+00   -0.42666E+01    0.45172E+07    0.15799E+05
    53    0.29754E+03    0.13333E+00   -0.44415E+01    0.44973E+07    0.15527E+05
    54    0.30229E+03    0.14149E+00   -0.46215E+01    0.44770E+07    0.15262E+05
    55    0.30695E+03    0.15003E+00   -0.48013E+01    0.44561E+07    0.15005E+05
    56    0.31171E+03    0.15881E+00   -0.49821E+01    0.44348E+07    0.14754E+05
    57    0.31652E+03    0.16773E+00   -0.51636E+01    0.44131E+07    0.14510E+05
    58    0.32137E+03    0.17678E+00   -0.53468E+01    0.43910E+07    0.14272E+05
    59    0.32615E+03    0.18602E+00   -0.55324E+01    0.43686E+07    0.14041E+05
    60    0.33085E+03    0.19550E+00   -0.57197E+01    0.43458E+07    0.13814E+05
    61    0.33577E+03    0.20531E+00   -0.59080E+01    0.43227E+07    0.13594E+05
    62    0.34033E+03    0.21545E+00   -0.60980E+01    0.42994E+07    0.13378E+05
    63    0.34473E+03    0.22586E+00   -0.62907E+01    0.42757E+07    0.13168E+05
    64    0.34925E+03    0.23657E+00   -0.64870E+01    0.42519E+07    0.12963E+05
    65    0.35352E+03    0.24753E+00   -0.66877E+01    0.42279E+07    0.12763E+05
    66    0.35781E+03    0.25868E+00   -0.68906E+01    0.42038E+07    0.12567E+05
    67    0.36197E+03    0.27002E+00   -0.70935E+01    0.41796E+07    0.12376E+05
    68    0.36627E+03    0.28160E+00   -0.72950E+01    0.41553E+07    0.12190E+05
    69    0.37049E+03    0.29337E+00   -0.74938E+01    0.41309E+07    0.12008E+05
