#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.56211E+03   -0.29371E+01    0.17961E-02   -0.29371E+01    0.51386E-01   -0.62865E-05    0.17961E-02   -0.62865E-05    0.71253E-08
     3    0.39863E+03   -0.29411E+01    0.11727E-02   -0.29411E+01    0.83125E-01   -0.53718E-05    0.11727E-02   -0.53718E-05    0.42823E-08
     4    0.30958E+03   -0.26968E+01    0.84845E-03   -0.26968E+01    0.92101E-01   -0.41085E-05    0.84845E-03   -0.41085E-05    0.29339E-08
     5    0.25508E+03   -0.23393E+01    0.65192E-03   -0.23393E+01    0.80310E-01   -0.28696E-05    0.65192E-03   -0.28696E-05    0.21643E-08
     6    0.21919E+03   -0.19211E+01    0.52106E-03   -0.19211E+01    0.58289E-01   -0.17842E-05    0.52106E-03   -0.17842E-05    0.16743E-08
     7    0.19454E+03   -0.14846E+01    0.42852E-03   -0.14846E+01    0.36694E-01   -0.90747E-06    0.42852E-03   -0.90747E-06    0.13395E-08
     8    0.17717E+03   -0.10690E+01    0.36016E-03   -0.10690E+01    0.21577E-01   -0.25822E-06    0.36016E-03   -0.25822E-06    0.10990E-08
     9    0.16472E+03   -0.70641E+00    0.30788E-03   -0.70641E+00    0.13833E-01    0.17056E-06    0.30788E-03    0.17056E-06    0.91942E-09
    10    0.15571E+03   -0.41773E+00    0.26669E-03   -0.41773E+00    0.11183E-01    0.40995E-06    0.26669E-03    0.40995E-06    0.78130E-09
    11    0.14926E+03   -0.21065E+00    0.23357E-03   -0.21065E+00    0.10634E-01    0.50483E-06    0.23357E-03    0.50483E-06    0.67264E-09
    12    0.14480E+03   -0.83660E-01    0.20642E-03   -0.83660E-01    0.10139E-01    0.49766E-06    0.20642E-03    0.49766E-06    0.58517E-09
    13    0.14153E+03   -0.27414E-01    0.18393E-03   -0.27414E-01    0.89296E-02    0.42162E-06    0.18393E-03    0.42162E-06    0.51388E-09
    14    0.13968E+03   -0.31194E-01    0.16506E-03   -0.31194E-01    0.73392E-02    0.30777E-06    0.16506E-03    0.30777E-06    0.45475E-09
    15    0.13901E+03   -0.78182E-01    0.14905E-03   -0.78182E-01    0.58724E-02    0.18710E-06    0.14905E-03    0.18710E-06    0.40522E-09
    16    0.13920E+03   -0.15077E+00    0.13531E-03   -0.15077E+00    0.49404E-02    0.86099E-07    0.13531E-03    0.86099E-07    0.36323E-09
    17    0.14016E+03   -0.23744E+00    0.12343E-03   -0.23744E+00    0.46325E-02    0.13266E-07    0.12343E-03    0.13266E-07    0.32736E-09
    18    0.14119E+03   -0.32776E+00    0.11305E-03   -0.32776E+00    0.47491E-02   -0.29533E-07    0.11305E-03   -0.29533E-07    0.29643E-09
    19    0.14353E+03   -0.41609E+00    0.10395E-03   -0.41609E+00    0.51024E-02   -0.49078E-07    0.10395E-03   -0.49078E-07    0.26959E-09
    20    0.14586E+03   -0.50128E+00    0.95894E-04   -0.50128E+00    0.55933E-02   -0.52953E-07    0.95894E-04   -0.52953E-07    0.24611E-09
    21    0.14846E+03   -0.58074E+00    0.88743E-04   -0.58074E+00    0.61970E-02   -0.43309E-07    0.88743E-04   -0.43309E-07    0.22547E-09
    22    0.15146E+03   -0.65377E+00    0.82365E-04   -0.65377E+00    0.69862E-02   -0.22330E-07    0.82365E-04   -0.22330E-07    0.20722E-09
    23    0.15466E+03   -0.72349E+00    0.76651E-04   -0.72349E+00    0.79913E-02    0.22392E-08    0.76651E-04    0.22392E-08    0.19102E-09
    24    0.15811E+03   -0.79383E+00    0.71506E-04   -0.79383E+00    0.91951E-02    0.22247E-07    0.71506E-04    0.22247E-07    0.17656E-09
    25    0.16182E+03   -0.86805E+00    0.66858E-04   -0.86805E+00    0.10607E-01    0.33471E-07    0.66858E-04    0.33471E-07    0.16361E-09
    26    0.16565E+03   -0.94728E+00    0.62644E-04   -0.94728E+00    0.12198E-01    0.34180E-07    0.62644E-04    0.34180E-07    0.15197E-09
